benchmark_name,benchmark_category,dataset,score,ci,time_taken,noise_dataset,reference_dataset
HubertToken,1,parler.tar.gz,64.060342012155672364,1.0,44.20990967750549,noise_uniform_distribution.tar.gz,speech_libritts_test.tar.gz
HubertToken,1,styletts_2.tar.gz,82.51871159882072959,1.0,52.85979652404785,noise_uniform_distribution.tar.gz,speech_lj_speech.tar.gz
HubertToken,1,vokan.tar.gz,65.680093844259118896,1.0,47.49224472045898,noise_normal_distribution.tar.gz,speech_vctk.tar.gz
HubertToken,1,whisper_speech.tar.gz,50.14515561622408768,1.0,67.3983006477356,noise_uniform_distribution.tar.gz,speech_common_voice.tar.gz
HubertToken,1,xtts_v2.tar.gz,62.60411495631921497,1.0,45.23789715766907,noise_uniform_distribution.tar.gz,speech_vctk.tar.gz
MFCC,1,gpt_sovits.tar.gz,86.25484083708977323,1.0,103.070885181427,esc50.tar.gz,speech_libritts_test.tar.gz
MFCC,1,melotts.tar.gz,86.58747971665872001,1.0,22.427165985107425,esc50.tar.gz,speech_libritts_test.tar.gz
MFCC,1,metavoice.tar.gz,81.18750855150082657,1.0,21.12493062019348,esc50.tar.gz,speech_libritts_r_test.tar.gz
MFCC,1,openvoice.tar.gz,91.98945850509865352,1.0,13.829591035842896,esc50.tar.gz,speech_libritts_test.tar.gz
MFCC,1,openvoice_v2.tar.gz,87.5379410091456549,1.0,12.937523126602173,esc50.tar.gz,speech_libritts_test.tar.gz
MFCC,1,parler.tar.gz,81.513124362055535244,1.0,13.422142505645752,esc50.tar.gz,speech_libritts_test.tar.gz
MFCC,1,styletts_2.tar.gz,92.80901893676899306,1.0,17.59044313430786,esc50.tar.gz,speech_libritts_test.tar.gz
MFCC,1,vokan.tar.gz,90.64442149868706622,1.0,16.866114139556885,esc50.tar.gz,speech_libritts_test.tar.gz
MFCC,1,whisper_speech.tar.gz,85.19943087583017416,1.0,20.29689908027649,esc50.tar.gz,speech_blizzard2013.tar.gz
MFCC,1,xtts_v2.tar.gz,67.498726407110510195,1.0,16.046332120895386,esc50.tar.gz,speech_libritts_r_test.tar.gz
MPM,2,gpt_sovits.tar.gz,92.21678164419148516,1.0,305.23093485832214,esc50.tar.gz,speech_libritts_test.tar.gz
MPM,2,melotts.tar.gz,88.75548400962712492,1.0,51.46794104576111,esc50.tar.gz,speech_lj_speech.tar.gz
MPM,2,metavoice.tar.gz,85.065374954487595005,1.0,50.756572008132935,esc50.tar.gz,speech_libritts_r_test.tar.gz
MPM,2,openvoice.tar.gz,94.822691952612260025,1.0,43.42593312263489,esc50.tar.gz,speech_libritts_test.tar.gz
MPM,2,openvoice_v2.tar.gz,93.26652431673576871,1.0,41.30967855453491,esc50.tar.gz,speech_libritts_test.tar.gz
MPM,2,parler.tar.gz,92.0934041720875598,1.0,46.687050342559814,esc50.tar.gz,speech_libritts_r_test.tar.gz
MPM,2,styletts_2.tar.gz,93.414262966471454774,1.0,53.65981411933899,esc50.tar.gz,speech_libritts_test.tar.gz
MPM,2,vokan.tar.gz,88.464847938048208675,1.0,49.357823848724365,esc50.tar.gz,speech_libritts_test.tar.gz
MPM,2,whisper_speech.tar.gz,86.681456868519020986,1.0,66.00977516174316,esc50.tar.gz,speech_libritts_test.tar.gz
MPM,2,xtts_v2.tar.gz,80.69225309254080969,1.0,47.53964567184448,esc50.tar.gz,speech_libritts_r_test.tar.gz
Pitch,2,gpt_sovits.tar.gz,88.006842026442228644,1.0,110.21017265319824,esc50.tar.gz,speech_libritts_test.tar.gz
Pitch,2,melotts.tar.gz,77.91996107772996538,1.0,24.538469314575195,esc50.tar.gz,speech_lj_speech.tar.gz
Pitch,2,metavoice.tar.gz,93.987100628406466285,1.0,23.80796718597412,esc50.tar.gz,speech_libritts_r_test.tar.gz
Pitch,2,openvoice.tar.gz,91.9506789655918908,1.0,16.426380395889282,noise_all_ones.tar.gz,speech_vctk.tar.gz
Pitch,2,openvoice_v2.tar.gz,89.75508475516164708,1.0,14.812138319015503,esc50.tar.gz,speech_libritts_r_test.tar.gz
Pitch,2,parler.tar.gz,80.113711440414519416,1.0,16.728453874588013,esc50.tar.gz,speech_blizzard2013.tar.gz
Pitch,2,styletts_2.tar.gz,86.943167250513525346,1.0,22.473388671875,noise_all_ones.tar.gz,speech_libritts_r_test.tar.gz
Pitch,2,vokan.tar.gz,89.23928099443284623,1.0,20.44344711303711,noise_all_ones.tar.gz,speech_libritts_r_test.tar.gz
Pitch,2,whisper_speech.tar.gz,84.84412184657456635,1.0,29.32764744758606,esc50.tar.gz,speech_vctk.tar.gz
Pitch,2,xtts_v2.tar.gz,90.4410631228691102,1.0,19.032588958740234,esc50.tar.gz,speech_libritts_test.tar.gz
WadaSNR,3,gpt_sovits.tar.gz,73.433074216833333026,1.0,48.92854571342468,esc50.tar.gz,speech_common_voice.tar.gz
WadaSNR,3,melotts.tar.gz,87.490425285101494524,1.0,18.310795545578003,esc50.tar.gz,speech_common_voice.tar.gz
WadaSNR,3,metavoice.tar.gz,70.767069409903569976,1.0,17.276248455047607,esc50.tar.gz,speech_vctk.tar.gz
WadaSNR,3,openvoice.tar.gz,61.10483134396943683,1.0,9.764553308486938,esc50.tar.gz,speech_blizzard2008.tar.gz
WadaSNR,3,openvoice_v2.tar.gz,79.3201722181952249,1.0,8.563453435897827,esc50.tar.gz,speech_blizzard2008.tar.gz
WadaSNR,3,parler.tar.gz,81.42524556739820696,1.0,9.070467710494995,esc50.tar.gz,speech_libritts_test.tar.gz
WadaSNR,3,styletts_2.tar.gz,73.63245830845713158,1.0,13.826392889022827,esc50.tar.gz,speech_common_voice.tar.gz
WadaSNR,3,vokan.tar.gz,79.85331053952465652,1.0,13.05435824394226,noise_all_zeros.tar.gz,speech_libritts_r_test.tar.gz
WadaSNR,3,whisper_speech.tar.gz,81.80764805313899046,1.0,17.013912439346313,esc50.tar.gz,speech_blizzard2008.tar.gz
WadaSNR,3,xtts_v2.tar.gz,70.18149506627776191,1.0,11.62030577659607,esc50.tar.gz,speech_common_voice.tar.gz
WeSpeaker,4,gpt_sovits.tar.gz,62.61802043036834675,1.0,268.4829306602478,esc50.tar.gz,speech_libritts_r_test.tar.gz
WeSpeaker,4,melotts.tar.gz,52.452437292311167027,1.0,46.239646434783936,esc50.tar.gz,speech_common_voice.tar.gz
WeSpeaker,4,metavoice.tar.gz,65.37970424695978977,1.0,47.5228168964386,esc50.tar.gz,speech_libritts_r_test.tar.gz
WeSpeaker,4,openvoice.tar.gz,59.217751269487536092,1.0,43.11126732826233,esc50.tar.gz,speech_libritts_r_test.tar.gz
WeSpeaker,4,openvoice_v2.tar.gz,60.528843023597005413,1.0,33.61356019973755,esc50.tar.gz,speech_libritts_r_test.tar.gz
WeSpeaker,4,parler.tar.gz,66.42264994781181997,1.0,38.275824546813965,esc50.tar.gz,speech_libritts_r_test.tar.gz
WeSpeaker,4,styletts_2.tar.gz,63.96968221843295055,1.0,48.307013273239136,esc50.tar.gz,speech_libritts_r_test.tar.gz
WeSpeaker,4,vokan.tar.gz,61.294761517438196563,1.0,42.27733826637268,esc50.tar.gz,speech_libritts_r_test.tar.gz
WeSpeaker,4,whisper_speech.tar.gz,64.44100821785592359,1.0,58.35350179672241,esc50.tar.gz,speech_libritts_r_test.tar.gz
WeSpeaker,4,xtts_v2.tar.gz,65.660777991889418104,1.0,40.22705078125,esc50.tar.gz,speech_libritts_r_test.tar.gz
